text,adult_rating
Whose cooking would impress even the most snooty chef?,FALSE
Who is most likely to have a cult following?,FALSE
Who has read The Bible cover-to-cover?,FALSE
Who will climb Mount Everest?,FALSE
Who has hired a professional to make their dating profile?,FALSE
Who is the pickiest eater?,FALSE
Who would be the first to eat live insects?,FALSE
Who would do the best job singing the National Anthem?,FALSE
Who always sees the glass as half full?,FALSE
Who would be able to show up on your doorstep unannounced and convince you to change your religion?,FALSE
Who makes a point to always take the stairs?,FALSE
Who will be having the most sex in the retirement home?,TRUE
Who should give up the wheel when they need to parallel park?,FALSE
Who would get into a fight with an elderly person and lose?,FALSE
Who is most likely to pick a fight?,FALSE
Who is the best listener?,FALSE
Who has contributed to bathroom stall graffiti?,FALSE
Who has the most checks on their bucket list?,FALSE
Who is secretly from the future?,FALSE
Who has gotten a massage with a happy ending?,TRUE
Who will have to wait the longest until they have sex again?,TRUE
Who hasn't finished reading a book in the last 2 years?,FALSE
Who would be the best partner for trivia night?,FALSE
Who would be the best partner for paintball?,FALSE
Who would make the best road trip mixtape?,FALSE
Who is the first one found in hide-and-seek?,FALSE
Who is the worst at keeping a secret?,FALSE
Who is the best at keeping a secret?,FALSE
Who is the passenger next to you on an airplane that won't stop talking?,FALSE
Who is a member of the Mile High Club?,TRUE
Who could convince you that the world is flat?,FALSE
Who will yell at you for not sorting your recycling?,FALSE
Who has gotten the most upset while playing Monopoly?,FALSE
Who is most likely to steal from the bank while playing Monopoly?,FALSE
Who is the most terrified of going to the dentist?,FALSE
Who gets the most attention when you go out to the club?,TRUE
Who is friends with someone that they would rather be dating?,TRUE
Who is the most easily seduced?,TRUE
Who gives the best life advice?,FALSE
Who would be most ashamed of their porn search history?,TRUE
Who has the lowest passenger rating on Uber?,FALSE
Who gives the most awkward hugs?,FALSE
Who gives the best hugs?,FALSE
Who was a band geek in high school?,FALSE
Who was a jock in high school?,FALSE
Who was probably valedictorian in high school? ,FALSE
"Who would have been voted ""Best Hair"" in high school?",FALSE
Who was teacher's pet in high school?,TRUE
Whose most recent cell phone picture would you like to see the most?,FALSE
Whose YouTube history would you like to see the most?,FALSE
Who would be the first picked for a threesome?,TRUE
Who has done the most hours of involuntary community service?,FALSE
Who has done the most hours of volunteering for charity?,FALSE
Who spends the most time crafting their image on social media?,FALSE
Who is the biggest social media influencer?,FALSE
Who spends the most time on their hair in the morning?,FALSE
Who will be the last person alive?,FALSE
Who always corrects your grammar?,FALSE
Who has probably hooked up with the most people in a 24-hour period at some point in their life?,TRUE
Who has most recently wiped with something other than toilet paper?,FALSE
Who would be the first person to stand up for someone being picked on?,FALSE
Who is secretly a superhero?,FALSE
Who will have the most positive impact on the human species in their lifetime?,FALSE
Who is the one person left on shore when everyone else is skinny dipping?,FALSE
Who would fail an 8th grade math exam if we took one right now?,FALSE
Who eats sushi with a fork?,FALSE
Who accidentally sent a dirty text to the wrong person?,TRUE
Who would you trust to housesit?,FALSE
Who would you trust with knowing the location of your secret stash of $5 million in cash?,FALSE
Who would you trust with your most shameful secret?,FALSE
Who has seen the most players in the room naked?,TRUE
Who would die first if they woke up naked in the middle of the jungle?,FALSE
Who color coordinates their underwear with their socks?,FALSE
Whose last photo on their phone is a selfie?,FALSE
Who is the most submissive?,TRUE
Who is the most subversive?,FALSE
Whose funeral will be attended by the most people?,FALSE
Who could charm the pants off of anyone you know?,FALSE
Who could have a booming business selling ice on the South Pole?,FALSE
Who is still using their ex's Netflix password?,FALSE
Who would you choose as your cellmate in prison?,FALSE
Who would have the hardest time talking their way out of an insane asylum?,FALSE
Who takes the longest to make up their mind before ordering food at a restaurant?,FALSE
Who is hungover the next day after having 2 beers?,FALSE
Who would win a hot dog eating contest?,FALSE
Whose moral compass is broken beyond repair?,TRUE
Who has dated more than one person at the same time?,FALSE
Who would be a great addition to the reality TV show Survivor?,FALSE
Who couldn't find their way home from here without their phone?,FALSE
Who can fix almost anything with a roll of duct tape?,FALSE
Who would be your one phone call if you got arrested?,FALSE
Who lost their virginity at the youngest age?,TRUE
Who lost their virginity at the oldest age?,TRUE
Who has had a night out end up in the hospital?,FALSE
Who has the most obnoxious self-imposed dietary restriction?,FALSE
Who would find a way to break out of prison and succeed?,FALSE
Who spends more time checking themselves out than working out at the gym?,FALSE
Who has parents that know the least about their current lifestyle?,FALSE
Who can't remember their 5th sexual partner's last name?,TRUE
Who always gets 2nd place?,FALSE
Whose last name would you take as your own if you had to pick one?,FALSE
Whose stripper name would be ___________?,TRUE
Who would try to talk down the price of Girl Scout Cookies?,FALSE
Who acts way ______ than they are?,FALSE
Who will win the lottery but lose the ticket?,FALSE
Who would lose an election because of something they did in high school?,FALSE
Who would make the most impressive structure out of legos?,FALSE
Who always calls you on your birthday?,FALSE
Who can't walk more than a block without running into someone they know?,FALSE
Who got the highest score on the standardized tests in high school?,FALSE
Who was the oldest then they stopped believing in Santa Claus?,FALSE
Who would be the most upset if all of their possessions were lost in a fire?,FALSE
Who could give the best toast right now?,FALSE
Who has the least amount of respect for authority?,FALSE
Who has been in an open relationship?,TRUE
Who brings an umbrella on days with a 10% chance of rain?,FALSE
Whose Snapchat story is always over a minute long?,FALSE
Who would you want as a partner on a 10-day backcountry camping trip?,FALSE
WHo would keep their composure during a life-threatening natural disaster?,FALSE
Who seems like they were homeschooled?,FALSE
Who has a Costco-sized pack of expired condoms?,TRUE
Who will be most willing to kiss the person to their right?,TRUE
Who skips down the street when no one is looking?,FALSE
Who dances like no one is watching when everyone is watching?,FALSE
Who would manage to drown in 4 feet of water?,FALSE
Who can't spell illiterate?,FALSE
